set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM,500,"[[1.2035524336599863, -0.3287617778599866, -0.4999614591704089, -0.4299284365658241, 0.33126308431880713], [0.03926078238686663]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM_500,39.6957323551178,,,144.29154086112976
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.fast,500,"[[0.8168931843113811, -0.22323433326573747, 0.01618913539581511, -0.497386739033828, 0.23513949176626997], [0.05498620534089902]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.fast_500,25.213502407073975,,,144.09096550941467
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.parallel,500,"[[1.2101816070044908, -0.3485637975964038, -0.4624099874820028, -0.43256496173522424, 0.30748606675515533], [0.037785772654104675]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.parallel_500,4.889296770095825,,,144.4802360534668
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM,1000,"[[1.4032106164989766, -0.6395345021210257, -0.6621348282008876, -0.13985978726201137, 0.37337812646129154], [0.004282132767128893]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM_1000,68.67344617843628,,,144.72410249710083
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.fast,1000,"[[1.1426754828733932, -0.5554431955548111, -0.20989887391953696, -0.3916952848650916, 0.40300997324812854], [0.017607546312438677]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.fast_1000,68.77131175994873,,,144.60145473480225
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.parallel,1000,"[[1.4311995422301178, -0.6905628516317055, -0.6214684470562695, -0.17431222470194033, 0.3930209815168551], [0.0062920416912304825]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.parallel_1000,5.836707592010498,,,145.04661226272583
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM,5000,"[[1.499801017083877, -0.5095772086388259, -0.587688236356981, -0.8437610271426832, 0.6988104021732806], [-0.017578672046397553]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM_5000,261.7047803401947,,,144.92803168296814
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.fast,5000,"[[0.930672508864464, -0.25752601516809565, -0.06185477639114477, -0.8752298261911146, 0.516885428906827], [-0.017000862495129127]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.fast_5000,128.60864686965942,,,144.5201234817505
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.parallel,5000,"[[1.5057395203925825, -0.5261184411392159, -0.5645834247497521, -0.859529262037008, 0.7023650696196723], [-0.01620724861185598]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.parallel_5000,3.6801955699920654,,,143.90078163146973
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM,10000,"[[1.7042537297717042, -0.8180269657367814, -0.4502506536615205, -1.0044947200028174, 0.8812113714238148], [-0.004931834115856345]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM_10000,341.0248513221741,,,143.92718720436096
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.fast,10000,"[[0.9391570463165935, -0.1724218295261575, -0.2409151283993331, -0.7919035845424994, 0.5642834133822728], [-0.010285096274497398]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.fast_10000,290.14114141464233,,,143.73603582382202
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.parallel,10000,"[[1.70235822719038, -0.8134918890737186, -0.45141458000228357, -1.0034704251906181, 0.8778969696274919], [-0.004079016966101967]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.parallel_10000,5.124079465866089,,,144.0878312587738
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,py.SAEM,100,"[[1.3698505604707856, 0.7714718147167166, 0.47492094216494746, -0.43739541562811124, 0.33340182805361057], [0.09574823092503577]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_py.SAEM_100,8.724617719650269,,,144.46508622169495
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,py.SAEM.fast,100,"[[1.3833169455599148, 0.7726794311476054, 0.3596147119266944, -0.5618352601760849, 0.673938994790409], [0.06455675213426802]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_py.SAEM.fast_100,15.890668869018555,,,143.9772527217865
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,py.SAEM.parallel,100,"[[1.3989881405473314, 0.7540715119174957, 0.4910150341562791, -0.4406816269143583, 0.3205762914242119], [0.10366139255597866]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_py.SAEM.parallel_100,3.3148274421691895,,,143.9837350845337
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,py.SAEM,500,"[[1.2766168007128917, 0.9092218984694102, 0.3455669593321439, -0.8656515469991692, 0.35236270629644634], [0.28426857293477487]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_py.SAEM_500,45.19192361831665,,,143.79737949371338
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,py.SAEM.fast,500,"[[0.708148403151179, 1.2130280848687007, 0.5362006577673597, -0.8053178601288584, 0.6317189090586308], [0.2212238011096868]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_py.SAEM.fast_500,37.47164845466614,,,143.93585205078125
